t,x,y
2.164,224.2,-672.5
2.181,215.6,-674.8
2.198,206.5,-677.9
2.214,196.1,-680.8
2.231,185.1,-684.0
2.247,173.8,-686.8
2.264,160.6,-689.9
2.281,146.0,-692.6
2.297,131.6,-695.5
2.314,114.1,-698.5
2.331,99.08,-700.6
2.347,83.59,-702.7
2.364,65.80,-704.3
2.381,49.40,-705.8
2.397,33.21,-706.5
2.414,16.08,-706.7
2.431,-0.589,-706.7
2.447,-19.30,-706.3
2.464,-35.35,-705.5
2.481,-52.13,-704.3
2.497,-67.23,-702.9
2.514,-82.64,-700.7
2.530,-97.04,-698.7
2.547,-112.3,-696.6
2.564,-125.2,-693.8
2.580,-138.7,-691.2
2.597,-150.3,-688.5
2.614,-160.7,-685.8
2.630,-171.4,-683.3
2.647,-179.9,-680.8
2.664,-187.8,-678.5
2.680,-194.6,-676.5
2.697,-200.2,-674.8
2.714,-204.8,-673.6
2.730,-208.5,-672.4
2.747,-210.7,-671.6
2.764,-211.9,-671.2
2.780,-211.8,-671.3
2.797,-210.5,-671.9
2.814,-208.3,-672.6
2.830,-204.5,-673.8
2.847,-200.1,-675.3
2.863,-194.7,-677.2
2.880,-187.6,-679.6
2.897,-179.7,-681.8
2.913,-171.2,-684.2
2.930,-160.1,-686.8
2.947,-149.6,-689.4
2.963,-138.0,-692.1
2.980,-125.5,-694.8
2.997,-112.0,-697.3
3.013,-97.41,-699.6
3.030,-81.79,-701.7
3.047,-67.01,-703.4
3.063,-51.43,-705.2
3.080,-33.87,-706.3
3.097,-16.54,-706.8
3.113,0.295,-706.9
3.130,15.93,-707.2
3.146,33.32,-706.6
3.163,50.98,-705.7
3.180,67.58,-704.6
3.196,83.91,-702.7
3.213,100.8,-700.8
3.230,115.3,-698.8
3.246,129.4,-696.5
3.263,144.2,-693.5
3.280,157.1,-690.4
3.296,170.6,-687.7
3.313,182.6,-684.8
3.330,193.3,-681.6
3.346,203.6,-679.0
3.363,211.9,-676.1
3.380,220.5,-673.6
3.396,227.1,-671.3
3.413,233.1,-669.4
3.429,237.9,-667.7
3.446,241.5,-666.4
3.463,243.8,-665.5
3.479,245.3,-665.0
3.496,245.3,-665.2
3.513,244.3,-665.7
3.529,242.1,-666.4
3.546,238.5,-667.6
3.563,233.5,-669.3
3.579,228.0,-671.1
3.596,221.3,-673.5
3.613,213.9,-676.0
3.629,205.3,-678.4
3.646,195.3,-681.3
3.663,184.0,-684.3
3.679,172.2,-687.2
3.696,159.8,-690.1
3.713,146.9,-692.9
3.729,133.0,-695.7
3.746,119.7,-697.7
3.762,103.2,-700.5
3.779,87.57,-702.5
3.796,71.66,-704.5
3.812,55.79,-705.5
3.829,38.79,-706.5
3.846,23.36,-706.9
3.862,7.035,-706.8
3.879,-10.67,-706.6
3.896,-27.58,-706.2
3.912,-43.86,-705.3
3.929,-59.13,-703.8
3.946,-75.34,-702.5
3.962,-90.11,-700.5
3.979,-104.5,-698.5
3.996,-118.4,-696.4
4.012,-130.8,-693.6
4.029,-142.1,-690.8
4.045,-153.8,-688.4
4.062,-162.9,-685.9
4.079,-173.6,-683.7
4.095,-181.6,-681.6
4.112,-188.7,-679.6
4.129,-194.3,-677.9
4.145,-199.5,-676.4
4.162,-203.8,-675.4
4.179,-206.2,-674.6
4.195,-207.8,-674.2
4.212,-208.3,-674.2
4.229,-207.1,-674.3
4.245,-205.4,-675.3
4.262,-202.5,-676.3
4.279,-198.5,-677.6
4.295,-193.7,-679.1
4.312,-187.0,-680.9
4.328,-179.7,-683.2
4.345,-171.4,-685.3
4.362,-161.3,-687.8
4.378,-151.3,-690.3
4.395,-140.0,-692.7
4.412,-127.6,-695.2
4.428,-114.2,-697.6
4.445,-100.1,-699.8
4.462,-85.71,-701.6
4.478,-70.30,-703.4
4.495,-54.10,-704.8
4.512,-37.77,-705.8
4.528,-21.65,-706.8
4.545,-6.529,-707.3
4.562,11.05,-707.5
4.578,26.21,-707.1
4.595,43.09,-706.5
4.611,58.86,-705.3
4.628,76.50,-704.0
4.645,91.10,-702.2
4.661,106.1,-700.3
4.678,120.5,-698.2
4.695,134.7,-695.7
4.711,148.8,-692.7
4.728,162.6,-689.8
4.745,173.0,-687.2
4.761,184.3,-684.3
4.778,194.4,-681.7
4.795,203.8,-678.8
4.811,211.9,-676.1
4.828,219.4,-674.0
4.845,225.5,-672.0
4.861,230.3,-670.2
4.878,234.3,-669.0
4.895,237.1,-667.9
4.911,238.7,-667.0
4.928,239.4,-666.7
4.944,238.8,-667.0
4.961,237.2,-667.5
4.978,234.3,-668.6
4.994,230.3,-669.9
5.011,225.2,-671.5
5.028,218.9,-673.6
5.044,212.1,-675.8
5.061,204.2,-678.0
5.078,195.0,-680.6
5.094,184.3,-683.6
5.111,173.4,-686.7
5.128,161.5,-689.4
5.144,150.4,-691.9
5.161,136.6,-694.7
5.178,121.3,-697.4
5.194,107.0,-699.6
5.211,91.65,-701.5
5.227,75.76,-703.2
5.244,60.48,-704.9
5.261,43.99,-705.7
5.277,27.53,-706.6
5.294,11.76,-706.7
5.311,-4.702,-706.8
5.327,-21.00,-706.5
5.344,-36.44,-705.6
5.361,-52.82,-704.4
5.377,-67.19,-702.7
5.394,-83.42,-701.4
5.411,-97.45,-699.5
5.427,-111.2,-697.4
5.444,-122.7,-694.7
5.461,-135.3,-692.4
5.477,-145.8,-689.8
5.494,-156.2,-687.5
5.510,-165.9,-685.5
5.527,-174.4,-683.5
5.544,-182.0,-681.5
5.560,-187.9,-679.7
5.577,-193.7,-678.2
5.594,-197.6,-676.9
5.610,-200.7,-675.8
5.627,-202.7,-675.3
5.644,-203.4,-675.2
5.660,-203.1,-675.4
5.677,-201.6,-676.0
5.694,-199.0,-676.6
5.710,-195.2,-677.6
5.727,-190.0,-679.3
5.744,-183.6,-681.0
5.760,-176.9,-682.9
5.777,-169.5,-685.2
5.794,-159.8,-687.7
5.810,-149.6,-689.9
5.827,-139.6,-692.2
5.843,-127.2,-694.5
5.860,-114.6,-696.8
5.877,-100.9,-698.9
5.893,-87.21,-700.6
5.910,-73.22,-702.4
5.927,-56.73,-703.8
5.943,-41.34,-704.9
5.960,-26.98,-706.2
5.977,-10.98,-706.6
5.993,6.854,-706.8
6.010,22.10,-706.6
6.027,38.04,-706.3
6.043,54.07,-705.4
6.060,71.40,-703.8
6.077,85.39,-702.6
6.093,100.4,-700.6
6.110,115.3,-698.7
6.126,128.7,-696.4
6.143,142.8,-693.7
6.160,154.9,-691.3
6.176,166.4,-688.6
6.193,178.1,-685.9
6.210,187.5,-683.3
6.226,197.3,-680.8
6.243,205.1,-678.4
6.260,212.1,-676.4
6.276,218.5,-674.4
6.293,223.8,-672.6
6.310,227.9,-671.1
6.326,231.2,-670.3
6.343,233.0,-669.4
6.360,234.0,-669.1
6.376,233.8,-669.2
6.393,232.7,-670.0
6.409,230.3,-670.5
6.426,226.5,-671.7
6.443,221.6,-673.4
6.459,215.7,-675.1
6.476,209.1,-677.3
6.493,201.5,-679.6
6.509,193.3,-681.9
6.526,183.6,-684.8
6.543,173.0,-687.2
6.559,162.9,-689.5
6.576,149.6,-692.4
6.593,138.3,-694.9
6.609,123.3,-697.4
6.626,109.9,-699.5
6.643,95.19,-701.6
6.659,79.66,-703.4
6.676,64.87,-704.7
6.693,49.70,-705.7
6.709,33.37,-706.7
6.726,18.29,-706.9
6.742,2.068,-706.6
6.759,-14.42,-706.6
6.776,-28.98,-705.8
6.792,-44.34,-704.8
6.809,-60.06,-703.5
6.826,-73.71,-701.9
6.842,-89.91,-700.4
6.859,-103.5,-698.5
6.876,-116.0,-696.4
6.892,-128.3,-694.2
6.909,-139.1,-691.4
6.926,-149.3,-689.5
6.942,-159.6,-687.3
6.959,-167.8,-685.3
6.976,-175.4,-683.5
6.992,-181.5,-681.7
7.009,-187.5,-680.3
7.025,-191.9,-679.1
7.042,-195.1,-677.8
7.059,-197.2,-677.2
7.075,-197.8,-677.0
7.092,-197.8,-676.9
7.109,-196.8,-677.4
7.125,-194.6,-678.0
7.142,-191.4,-679.2
7.159,-187.2,-680.3
7.175,-180.9,-682.0
7.192,-174.6,-683.8
7.209,-167.5,-685.6
7.225,-158.8,-687.7
7.242,-148.0,-689.7
7.259,-137.5,-691.9
7.275,-127.5,-694.3
7.292,-115.2,-696.4
7.308,-102.3,-698.6
7.325,-88.78,-700.6
7.342,-75.41,-702.3
7.358,-59.84,-703.8
7.375,-46.03,-705.3
7.392,-30.80,-706.3
7.408,-15.55,-706.6
7.425,2.216,-706.7
7.442,18.14,-706.7
7.458,32.63,-706.5
7.475,49.05,-705.7
7.492,64.14,-704.8
7.508,79.09,-703.3
7.525,93.84,-701.4
7.542,108.4,-699.6
7.558,122.9,-697.7
7.575,133.6,-695.4
7.591,146.0,-693.1
7.608,158.1,-690.4
7.625,169.6,-687.9
7.641,179.5,-685.3
7.658,189.2,-682.9
7.675,197.3,-680.3
7.691,204.8,-678.1
7.708,211.4,-676.3
7.725,216.9,-674.5
7.741,221.6,-672.9
7.758,224.7,-671.7
7.775,227.1,-670.9
7.791,228.4,-670.6
7.808,228.3,-670.6
7.825,227.3,-670.8
7.841,225.2,-671.5
7.858,222.1,-672.3
7.875,217.6,-673.7
7.891,212.5,-675.4
7.908,206.1,-677.5
7.924,198.8,-679.6
7.941,190.9,-681.9
7.958,181.9,-684.4
7.974,172.2,-686.8
7.991,161.7,-689.4
8.008,150.8,-691.7
8.024,137.9,-694.4
8.041,124.8,-696.6
8.058,112.2,-698.8
8.074,97.95,-700.6
8.091,83.36,-702.5
8.108,67.76,-704.2
8.124,52.61,-705.3
8.141,37.06,-706.1
8.158,22.26,-706.8
8.174,6.895,-706.8
8.191,-8.474,-706.6
8.207,-24.89,-706.2
8.224,-40.19,-705.2
8.241,-55.27,-704.1
8.257,-68.33,-702.9
8.274,-83.29,-701.2
8.291,-96.10,-699.5
8.307,-108.7,-697.4
8.324,-121.5,-695.3
8.341,-133.1,-693.1
8.357,-143.5,-691.3
8.374,-153.3,-689.2
8.391,-161.6,-687.3
8.407,-169.1,-685.3
8.424,-175.6,-683.6
8.441,-181.6,-682.2
8.457,-185.7,-680.9
8.474,-189.6,-679.8
8.490,-191.8,-678.9
8.507,-193.2,-678.3
8.524,-193.4,-678.5
8.540,-192.6,-678.8
8.557,-191.0,-679.2
8.574,-187.9,-680.2
8.590,-183.8,-681.4
8.607,-178.6,-682.7
8.624,-172.6,-684.5
8.640,-165.5,-686.5
8.657,-157.6,-688.3
8.674,-148.9,-690.3
8.690,-138.7,-692.5
8.707,-128.2,-694.7
8.724,-115.8,-696.8
8.740,-104.0,-698.7
8.757,-90.84,-700.5
8.774,-77.54,-702.4
8.790,-62.71,-703.9
8.807,-49.21,-705.2
8.823,-34.52,-706.3
8.840,-18.89,-706.9
8.857,-3.366,-707.5
8.873,11.09,-707.3
8.890,26.06,-707.1
8.907,41.67,-706.7
8.923,56.40,-705.4
8.940,72.49,-704.3
8.957,86.83,-702.5
8.973,101.3,-700.8
8.990,114.5,-698.7
9.007,127.4,-696.5
9.023,139.8,-694.1
9.040,152.1,-691.7
9.057,162.7,-689.1
9.073,173.0,-687.1
9.090,182.9,-684.6
9.106,191.2,-682.3
9.123,198.8,-680.3
9.140,205.5,-678.4
9.156,210.9,-676.5
9.173,215.9,-674.9
9.190,219.5,-673.9
9.206,222.0,-672.9
9.223,223.3,-672.2
9.240,223.8,-672.2
9.256,223.1,-672.5
9.273,221.4,-673.0
9.290,218.6,-673.9
9.306,214.7,-674.8
9.323,209.8,-676.4
9.340,204.1,-678.2
9.356,197.4,-680.4
9.373,189.5,-682.7
9.389,181.1,-684.7
9.406,171.5,-687.3
9.423,161.5,-689.6
9.439,150.5,-691.8
9.456,137.7,-694.2
9.473,126.0,-696.7
9.489,112.7,-698.4
9.506,99.18,-700.6
9.523,84.64,-702.5
9.539,70.65,-703.9
9.556,54.61,-705.3
9.573,41.49,-705.9
9.589,25.49,-706.4
9.606,10.85,-706.8
9.623,-4.957,-706.7
9.639,-20.01,-706.3
9.656,-34.35,-705.6
9.672,-49.13,-704.5
9.689,-63.29,-703.2
9.706,-76.97,-701.7
9.722,-90.17,-700.1
9.739,-103.3,-698.3
9.756,-114.7,-696.5
9.772,-126.0,-694.3
9.789,-136.1,-692.3
9.806,-146.1,-690.4
9.822,-154.1,-688.4
9.839,-161.9,-686.4
9.856,-167.8,-684.8
9.872,-174.2,-683.3
9.889,-178.2,-681.5
9.906,-181.6,-680.8
9.922,-184.3,-679.6
9.939,-186.1,-679.1
9.956,-186.5,-679.4
9.972,-186.1,-679.3
9.989,-184.1,-679.7
10.005,-181.7,-680.6
10.022,-178.0,-681.5
10.039,-173.0,-682.8
10.055,-167.5,-684.5
10.072,-161.4,-686.4
10.089,-153.8,-688.3
10.105,-145.9,-690.2
10.122,-135.9,-692.3
10.139,-125.8,-694.4
10.155,-114.6,-696.7
10.172,-103.0,-698.5
10.189,-90.25,-700.5
10.205,-77.72,-702.3
10.222,-64.11,-703.5
10.239,-50.11,-704.7
10.255,-35.17,-705.7
10.272,-19.49,-706.6
10.288,-5.619,-707.2
10.305,9.252,-707.2
10.322,24.07,-706.8
10.338,38.91,-706.4
10.355,54.09,-705.6
10.372,68.38,-704.6
10.388,83.26,-702.8
10.405,95.99,-701.3
10.422,109.7,-699.5
10.438,123.2,-697.4
10.455,134.9,-695.2
10.472,147.6,-692.7
10.488,157.5,-690.7
10.505,167.1,-688.5
10.522,178.0,-685.9
10.538,185.8,-683.5
10.555,193.1,-681.5
10.571,200.1,-679.7
10.588,205.9,-677.8
10.605,210.2,-676.3
10.621,213.9,-675.1
10.638,216.5,-674.5
10.655,218.2,-673.9
10.671,219.0,-673.7
10.688,218.5,-673.9
10.705,217.0,-674.4
10.721,214.4,-674.8
10.738,211.0,-676.1
10.755,206.5,-677.4
10.771,201.0,-679.2
10.788,194.8,-680.9
10.805,187.7,-682.9
10.821,180.0,-684.9
10.838,169.7,-687.3
10.855,160.0,-689.6
10.871,150.3,-691.8
10.888,139.0,-693.9
10.904,126.1,-696.2
10.921,113.5,-698.5
10.938,100.3,-700.4
10.954,87.56,-701.9
10.971,72.68,-703.7
10.988,57.09,-705.2
11.004,43.82,-705.8
11.021,28.77,-706.7
11.038,14.63,-706.9
11.054,-0.966,-707.1
11.071,-17.10,-706.3
11.088,-30.41,-705.8
11.104,-45.00,-705.1
11.121,-57.93,-703.8
11.138,-72.19,-702.5
11.154,-83.93,-700.9
11.171,-96.49,-698.9
11.187,-109.1,-697.2
11.204,-120.5,-695.3
11.221,-131.4,-693.4
11.237,-140.7,-691.4
11.254,-148.7,-689.6
11.271,-156.7,-687.7
11.287,-163.9,-686.2
11.304,-169.2,-684.6
11.321,-174.1,-683.4
11.337,-178.0,-682.5
11.354,-180.5,-681.8
11.371,-182.7,-681.3
11.387,-183.6,-681.2
11.404,-183.3,-681.3
11.421,-181.8,-681.7
11.437,-179.7,-682.5
11.454,-176.2,-683.2
11.470,-171.5,-684.7
11.487,-166.3,-686.2
11.504,-159.7,-687.8
11.520,-152.2,-689.3
11.537,-144.4,-691.3
11.554,-134.4,-693.0
11.570,-125.0,-694.7
11.587,-115.2,-697.2
11.604,-104.8,-699.2
11.620,-90.91,-700.9
11.637,-79.12,-702.3
11.654,-65.26,-703.9
11.670,-51.19,-704.9
11.687,-38.17,-706.1
11.704,-23.59,-706.9
11.720,-9.311,-707.1
11.737,5.703,-707.3
11.753,20.44,-707.3
11.770,36.09,-706.9
11.787,48.90,-706.1
11.803,63.35,-705.3
11.820,78.27,-703.9
11.837,91.60,-702.5
11.853,105.0,-700.6
11.870,117.1,-698.7
11.887,128.9,-696.5
11.903,140.8,-694.6
11.920,151.4,-692.3
11.937,161.1,-690.2
11.953,171.1,-687.9
11.970,179.4,-685.6
11.987,187.0,-683.6
12.003,193.6,-681.7
12.020,199.2,-679.8
12.037,204.1,-678.3
12.053,207.9,-677.0
12.070,210.9,-676.0
12.086,213.0,-675.4
12.103,213.8,-675.2
12.120,213.7,-675.3
12.136,212.3,-675.6
12.153,210.3,-676.3
12.170,206.8,-677.4
12.186,202.9,-678.7
12.203,198.0,-680.3
12.220,191.9,-681.7
12.236,185.0,-683.8
12.253,177.1,-685.8
12.270,168.1,-687.8
12.286,158.7,-690.3
12.303,149.0,-692.5
12.320,138.0,-694.5
12.336,126.0,-696.5
12.353,114.2,-698.7
12.369,101.3,-700.5
12.386,87.29,-702.4
12.403,74.36,-703.8
12.419,60.41,-705.0
12.436,45.50,-706.3
12.453,31.03,-706.6
12.469,16.79,-706.8
12.486,3.430,-707.0
12.503,-11.70,-706.6
12.519,-25.58,-706.2
12.536,-39.91,-705.7
12.553,-53.87,-704.5
12.569,-67.65,-703.4
12.586,-79.86,-701.8
12.603,-92.42,-700.5
12.619,-104.1,-698.5
12.636,-114.9,-696.5
12.652,-125.1,-694.5
12.669,-134.6,-692.8
12.686,-142.7,-690.9
12.702,-150.9,-689.2
12.719,-157.6,-687.7
12.736,-163.9,-686.2
12.752,-168.2,-684.8
12.769,-172.6,-683.7
12.786,-175.6,-682.9
12.802,-177.8,-682.2
12.819,-178.8,-682.2
12.836,-178.8,-682.3
12.852,-177.7,-682.6
12.869,-175.6,-683.3
12.886,-172.7,-684.2
12.902,-168.7,-685.2
12.919,-163.3,-686.6
12.936,-156.9,-687.9
12.952,-150.4,-689.8
12.969,-142.8,-691.4
12.985,-134.4,-693.2
13.002,-125.0,-695.0
13.019,-114.3,-697.0
13.035,-103.5,-698.6
